wvg_height = 0.25 , mode = yO, SUBSRATE = Truem hx_min = 0.125, hy_min = 0.2
hx = 0.25, hy = 0.475, a = 0.429, w = 0.65, gamma = 0.15856, freqs = 167.3432 , 230.5967 
hx = 0.275, hy = 0.425, a = 0.44, w = 0.65, gamma = 0.1587, freqs = 164.6247 , 226.7751 
hx = 0.275, hy = 0.45, a = 0.44, w = 0.65, gamma = 0.15877, freqs = 165.7119 , 228.2639 
hx = 0.275, hy = 0.425, a = 0.441, w = 0.65, gamma = 0.15884, freqs = 164.3062 , 226.4345 
hx = 0.275, hy = 0.45, a = 0.441, w = 0.65, gamma = 0.159, freqs = 165.3956 , 227.9337 
hx = 0.275, hy = 0.425, a = 0.442, w = 0.65, gamma = 0.15906, freqs = 164.2883 , 226.5064 
hx = 0.275, hy = 0.45, a = 0.442, w = 0.65, gamma = 0.16013, freqs = 165.37 , 228.4309 
hx = 0.275, hy = 0.45, a = 0.443, w = 0.65, gamma = 0.16035, freqs = 165.0525 , 228.0967 
hx = 0.275, hy = 0.45, a = 0.444, w = 0.65, gamma = 0.16069, freqs = 164.753 , 227.845 
hx = 0.275, hy = 0.45, a = 0.445, w = 0.65, gamma = 0.16087, freqs = 164.4366 , 227.5087 
hx = 0.275, hy = 0.45, a = 0.446, w = 0.65, gamma = 0.16092, freqs = 164.1222 , 227.1204 
hx = 0.275, hy = 0.475, a = 0.449, w = 0.65, gamma = 0.16099, freqs = 164.4624 , 227.5953 
hx = 0.25, hy = 0.5, a = 0.424, w = 0.7, gamma = 0.16116, freqs = 165.4283 , 229.0 
hx = 0.25, hy = 0.525, a = 0.426, w = 0.7, gamma = 0.1612, freqs = 165.9905 , 229.8432 
hx = 0.25, hy = 0.525, a = 0.427, w = 0.7, gamma = 0.16138, freqs = 165.6959 , 229.4942 
hx = 0.25, hy = 0.525, a = 0.428, w = 0.7, gamma = 0.16152, freqs = 165.3951 , 229.1268 
hx = 0.25, hy = 0.525, a = 0.429, w = 0.7, gamma = 0.16178, freqs = 165.1736 , 228.9371 
hx = 0.275, hy = 0.5, a = 0.442, w = 0.7, gamma = 0.16195, freqs = 163.3761 , 226.6343 
hx = 0.275, hy = 0.525, a = 0.442, w = 0.7, gamma = 0.16196, freqs = 164.5604 , 228.1725 
hx = 0.275, hy = 0.5, a = 0.443, w = 0.7, gamma = 0.16209, freqs = 163.059 , 226.3055 
hx = 0.275, hy = 0.5, a = 0.444, w = 0.7, gamma = 0.1622, freqs = 162.7439 , 225.9763 
hx = 0.275, hy = 0.525, a = 0.444, w = 0.7, gamma = 0.1622, freqs = 163.9017 , 227.4123 
hx = 0.275, hy = 0.5, a = 0.445, w = 0.7, gamma = 0.1623, freqs = 162.4275 , 225.6436 
