hx = 0.175, hy = 0.375, a = 0.37, w = 0.65, freqs = [185.707776   237.43106512], gamma = 0.10019
hx = 0.175, hy = 0.35, a = 0.371, w = 0.65, freqs = [184.70829609 233.76464127], gamma = 0.10091
hx = 0.175, hy = 0.375, a = 0.371, w = 0.65, freqs = [185.34719974 236.78708502], gamma = 0.10124
hx = 0.175, hy = 0.35, a = 0.372, w = 0.65, freqs = [184.35994475 233.14620303], gamma = 0.10173
hx = 0.175, hy = 0.375, a = 0.372, w = 0.65, freqs = [184.99171698 236.12905122], gamma = 0.1022
hx = 0.175, hy = 0.35, a = 0.373, w = 0.65, freqs = [184.03943256 232.62564433], gamma = 0.10251
hx = 0.175, hy = 0.375, a = 0.373, w = 0.65, freqs = [184.67553693 235.5981408 ], gamma = 0.10308
hx = 0.175, hy = 0.35, a = 0.374, w = 0.65, freqs = [183.72047652 232.12487011], gamma = 0.10326
hx = 0.175, hy = 0.375, a = 0.374, w = 0.65, freqs = [184.35545468 235.03877673], gamma = 0.1039
hx = 0.175, hy = 0.35, a = 0.375, w = 0.65, freqs = [183.39461037 231.5835182 ], gamma = 0.10396
hx = 0.175, hy = 0.375, a = 0.375, w = 0.65, freqs = [184.01986335 234.40507273], gamma = 0.10466
hx = 0.175, hy = 0.375, a = 0.376, w = 0.65, freqs = [183.7615692  234.02457434], gamma = 0.10534
hx = 0.2, hy = 0.35, a = 0.377, w = 0.65, freqs = [185.11753128 239.84985765], gamma = 0.10539
hx = 0.175, hy = 0.375, a = 0.377, w = 0.65, freqs = [183.4432238 233.4691137], gamma = 0.10605
hx = 0.2, hy = 0.35, a = 0.378, w = 0.65, freqs = [184.76704725 239.24063489], gamma = 0.10645
hx = 0.175, hy = 0.375, a = 0.378, w = 0.65, freqs = [183.12182646 232.89573835], gamma = 0.10671
hx = 0.2, hy = 0.35, a = 0.379, w = 0.65, freqs = [184.41420737 238.66526083], gamma = 0.1075
hx = 0.2, hy = 0.375, a = 0.379, w = 0.65, freqs = [185.12976561 242.21263032], gamma = 0.10758
hx = 0.2, hy = 0.35, a = 0.38, w = 0.65, freqs = [184.3033764  238.33943604], gamma = 0.10767
hx = 0.2, hy = 0.375, a = 0.38, w = 0.65, freqs = [185.01236214 241.8502075 ], gamma = 0.10781
hx = 0.2, hy = 0.35, a = 0.381, w = 0.65, freqs = [184.11317146 237.96301084], gamma = 0.10815
hx = 0.2, hy = 0.375, a = 0.381, w = 0.65, freqs = [184.81610858 241.41255809], gamma = 0.10834
hx = 0.2, hy = 0.35, a = 0.382, w = 0.65, freqs = [183.78051898 237.40221371], gamma = 0.10904
hx = 0.2, hy = 0.375, a = 0.382, w = 0.65, freqs = [184.48178435 240.86321048], gamma = 0.1094
hx = 0.2, hy = 0.35, a = 0.383, w = 0.65, freqs = [183.46552881 237.05596186], gamma = 0.11006
hx = 0.2, hy = 0.375, a = 0.383, w = 0.65, freqs = [184.16926568 240.44196102], gamma = 0.11044
hx = 0.2, hy = 0.35, a = 0.384, w = 0.65, freqs = [183.1110759  236.40931116], gamma = 0.11089
hx = 0.2, hy = 0.375, a = 0.384, w = 0.65, freqs = [183.80757861 239.76233139], gamma = 0.11142
hx = 0.2, hy = 0.35, a = 0.385, w = 0.65, freqs = [182.76103124 235.82808055], gamma = 0.11172
hx = 0.2, hy = 0.375, a = 0.385, w = 0.65, freqs = [183.45307219 239.07658964], gamma = 0.1123
hx = 0.2, hy = 0.35, a = 0.386, w = 0.65, freqs = [182.41003634 235.21650281], gamma = 0.11248
hx = 0.2, hy = 0.375, a = 0.386, w = 0.65, freqs = [183.10298148 238.45862762], gamma = 0.1132
hx = 0.2, hy = 0.35, a = 0.387, w = 0.65, freqs = [182.06442972 234.63637546], gamma = 0.11322
hx = 0.2, hy = 0.375, a = 0.387, w = 0.65, freqs = [182.75174088 237.80555182], gamma = 0.11401
