hx = 0.175, hy = 0.375, a = 0.353, w = 0.65, freqs = [185.17887037 240.43473547], gamma = 0.10566
hx = 0.175, hy = 0.35, a = 0.354, w = 0.65, freqs = [184.14778155 236.4340142 ], gamma = 0.10635
hx = 0.175, hy = 0.375, a = 0.354, w = 0.65, freqs = [184.81667724 239.82431912], gamma = 0.10679
hx = 0.175, hy = 0.35, a = 0.355, w = 0.65, freqs = [183.84127081 236.10288981], gamma = 0.10735
hx = 0.175, hy = 0.375, a = 0.355, w = 0.65, freqs = [184.51446915 239.47472544], gamma = 0.10786
hx = 0.175, hy = 0.35, a = 0.356, w = 0.65, freqs = [183.47414001 235.45262429], gamma = 0.10823
hx = 0.175, hy = 0.375, a = 0.356, w = 0.65, freqs = [184.14516214 238.81758635], gamma = 0.1089
hx = 0.175, hy = 0.35, a = 0.357, w = 0.65, freqs = [183.11356941 234.8506297 ], gamma = 0.10908
hx = 0.175, hy = 0.375, a = 0.357, w = 0.65, freqs = [183.78292838 238.20302833], gamma = 0.10989
hx = 0.175, hy = 0.35, a = 0.358, w = 0.65, freqs = [182.7407945  234.24705191], gamma = 0.10994
hx = 0.175, hy = 0.375, a = 0.358, w = 0.65, freqs = [183.41716516 237.55770508], gamma = 0.11083
hx = 0.175, hy = 0.4, a = 0.358, w = 0.65, freqs = [184.15479806 240.87509002], gamma = 0.11094
hx = 0.175, hy = 0.375, a = 0.359, w = 0.65, freqs = [183.06196876 236.98180102], gamma = 0.11174
hx = 0.175, hy = 0.4, a = 0.359, w = 0.65, freqs = [183.80302807 240.24893578], gamma = 0.11194
hx = 0.175, hy = 0.375, a = 0.36, w = 0.65, freqs = [182.69397507 236.37356765], gamma = 0.11264
hx = 0.175, hy = 0.4, a = 0.36, w = 0.65, freqs = [183.43474254 239.59064288], gamma = 0.11293
hx = 0.175, hy = 0.375, a = 0.361, w = 0.65, freqs = [182.32802204 235.74894858], gamma = 0.11346
hx = 0.175, hy = 0.4, a = 0.361, w = 0.65, freqs = [183.06031459 238.90789771], gamma = 0.11387
hx = 0.175, hy = 0.375, a = 0.362, w = 0.65, freqs = [182.0051782 235.3239996], gamma = 0.1143
hx = 0.175, hy = 0.4, a = 0.362, w = 0.65, freqs = [182.73998783 238.45945853], gamma = 0.11479
hx = 0.175, hy = 0.375, a = 0.363, w = 0.65, freqs = [181.62732826 234.66055397], gamma = 0.11504
hx = 0.175, hy = 0.4, a = 0.363, w = 0.65, freqs = [182.36211599 237.7366749 ], gamma = 0.11562
hx = 0.175, hy = 0.375, a = 0.364, w = 0.65, freqs = [181.26281793 234.01972767], gamma = 0.11571
