hx = 0.275, hy = 0.425, a = 0.434, w = 0.65, gamma = 0.16265
hx = 0.275, hy = 0.45, a = 0.434, w = 0.65, gamma = 0.16307
hx = 0.275, hy = 0.45, a = 0.435, w = 0.65, gamma = 0.16349
hx = 0.275, hy = 0.45, a = 0.436, w = 0.65, gamma = 0.1638
hx = 0.275, hy = 0.45, a = 0.437, w = 0.65, gamma = 0.16417
hx = 0.275, hy = 0.45, a = 0.438, w = 0.65, gamma = 0.16449
hx = 0.275, hy = 0.45, a = 0.439, w = 0.65, gamma = 0.16475
hx = 0.275, hy = 0.45, a = 0.44, w = 0.65, gamma = 0.16498
hx = 0.275, hy = 0.45, a = 0.441, w = 0.65, gamma = 0.16521
hx = 0.275, hy = 0.45, a = 0.442, w = 0.65, gamma = 0.16538
hx = 0.275, hy = 0.45, a = 0.443, w = 0.65, gamma = 0.16555
hx = 0.3, hy = 0.425, a = 0.444, w = 0.65, gamma = 0.166
hx = 0.3, hy = 0.45, a = 0.444, w = 0.65, gamma = 0.16639
hx = 0.3, hy = 0.425, a = 0.445, w = 0.65, gamma = 0.16649
hx = 0.3, hy = 0.45, a = 0.445, w = 0.65, gamma = 0.167
hx = 0.3, hy = 0.45, a = 0.446, w = 0.65, gamma = 0.16758
hx = 0.3, hy = 0.45, a = 0.447, w = 0.65, gamma = 0.16814
hx = 0.3, hy = 0.45, a = 0.448, w = 0.65, gamma = 0.16862
hx = 0.3, hy = 0.45, a = 0.449, w = 0.65, gamma = 0.16906
hx = 0.275, hy = 0.525, a = 0.438, w = 0.7, gamma = 0.16922
hx = 0.275, hy = 0.525, a = 0.439, w = 0.7, gamma = 0.16951
hx = 0.275, hy = 0.525, a = 0.44, w = 0.7, gamma = 0.16976
hx = 0.275, hy = 0.525, a = 0.441, w = 0.7, gamma = 0.16997
hx = 0.275, hy = 0.525, a = 0.442, w = 0.7, gamma = 0.1702
hx = 0.3, hy = 0.5, a = 0.443, w = 0.7, gamma = 0.17026
hx = 0.275, hy = 0.525, a = 0.443, w = 0.7, gamma = 0.17041
hx = 0.3, hy = 0.5, a = 0.444, w = 0.7, gamma = 0.17082
hx = 0.3, hy = 0.5, a = 0.445, w = 0.7, gamma = 0.1714
hx = 0.3, hy = 0.5, a = 0.446, w = 0.7, gamma = 0.17196
hx = 0.3, hy = 0.5, a = 0.447, w = 0.7, gamma = 0.17283
hx = 0.3, hy = 0.5, a = 0.448, w = 0.7, gamma = 0.17323
hx = 0.3, hy = 0.525, a = 0.448, w = 0.7, gamma = 0.17323
hx = 0.3, hy = 0.5, a = 0.449, w = 0.7, gamma = 0.1736
hx = 0.3, hy = 0.525, a = 0.449, w = 0.7, gamma = 0.17375
