wvg_height = 0.19 , mode = yO, SUBSRATE = True
hx = 0.225, hy = 0.375, a = 0.394, w = 0.65, freqs = [181.89557354 239.11446666], gamma = 0.11918
hx = 0.2, hy = 0.4, a = 0.394, w = 0.65, freqs = [180.14187679 233.44596335], gamma = 0.11939
hx = 0.2, hy = 0.425, a = 0.394, w = 0.65, freqs = [180.97374519 236.04944373], gamma = 0.11942
hx = 0.225, hy = 0.375, a = 0.395, w = 0.65, freqs = [181.56297759 238.59324659], gamma = 0.12
hx = 0.225, hy = 0.4, a = 0.395, w = 0.65, freqs = [182.37373333 242.07297785], gamma = 0.12029
hx = 0.225, hy = 0.375, a = 0.396, w = 0.65, freqs = [181.22647695 238.05305161], gamma = 0.12079
hx = 0.225, hy = 0.4, a = 0.396, w = 0.65, freqs = [182.035427   241.50029992], gamma = 0.12118
hx = 0.225, hy = 0.375, a = 0.397, w = 0.65, freqs = [180.88628806 237.50169864], gamma = 0.12155
hx = 0.225, hy = 0.4, a = 0.397, w = 0.65, freqs = [181.69685891 240.92816742], gamma = 0.12205
hx = 0.225, hy = 0.375, a = 0.398, w = 0.65, freqs = [180.61046734 237.2004028 ], gamma = 0.12232
hx = 0.225, hy = 0.4, a = 0.398, w = 0.65, freqs = [181.42288302 240.58420179], gamma = 0.12285
hx = 0.225, hy = 0.375, a = 0.399, w = 0.65, freqs = [180.27828794 236.64691136], gamma = 0.12298
hx = 0.225, hy = 0.4, a = 0.399, w = 0.65, freqs = [181.08595503 239.98160802], gamma = 0.12361
hx = 0.225, hy = 0.4, a = 0.4, w = 0.65, freqs = [180.76040775 239.41330511], gamma = 0.12433
hx = 0.225, hy = 0.4, a = 0.401, w = 0.65, freqs = [180.42089846 238.7903728 ], gamma = 0.12501
hx = 0.225, hy = 0.4, a = 0.402, w = 0.65, freqs = [180.08004541 238.15347922], gamma = 0.12564
hx = 0.225, hy = 0.4, a = 0.403, w = 0.65, freqs = [179.74834725 237.55659405], gamma = 0.12624
hx = 0.225, hy = 0.4, a = 0.404, w = 0.65, freqs = [179.40672613 236.9410468 ], gamma = 0.12683
hx = 0.225, hy = 0.4, a = 0.405, w = 0.65, freqs = [179.07906873 236.34383629], gamma = 0.12735
hx = 0.225, hy = 0.425, a = 0.405, w = 0.65, freqs = [179.98098741 239.28725201], gamma = 0.12741
hx = 0.225, hy = 0.4, a = 0.406, w = 0.65, freqs = [178.74833784 235.74659019], gamma = 0.12785
hx = 0.225, hy = 0.425, a = 0.406, w = 0.65, freqs = [179.6462546  238.66574234], gamma = 0.12802
hx = 0.225, hy = 0.4, a = 0.407, w = 0.65, freqs = [178.47470262 235.36857018], gamma = 0.12839
hx = 0.225, hy = 0.425, a = 0.407, w = 0.65, freqs = [179.37771065 238.25796855], gamma = 0.1286
hx = 0.225, hy = 0.425, a = 0.409, w = 0.65, freqs = [179.05882465 237.31587065], gamma = 0.12868
hx = 0.225, hy = 0.4, a = 0.41, w = 0.65, freqs = [177.84665723 233.90728677], gamma = 0.12874
hx = 0.225, hy = 0.425, a = 0.41, w = 0.65, freqs = [178.72985978 236.67475217], gamma = 0.12915
hx = 0.225, hy = 0.425, a = 0.411, w = 0.65, freqs = [178.40077417 236.03526546], gamma = 0.12957
